"company","tier","verdict","email","phone","municipality","prefecture","legal_type","founded","socials","social_urls","kad","ar_gemi","afm","email_domain"
"GENERIC MARINE 1 LIMITED BRANCH OFFICE OF FOREIGN COMPANY","A","free-mail","csfaelaw@otenet.gr","2104297430","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","170964801001","996570046","otenet.gr"
"GERMANIDIS GEB CHROSCH SYLVIA REGINA ΤΟΥ HANS","A","free-mail","gmfd34@gmail.com","2310674559","ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ / ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΑΤΟΜΙΚΗ","2008","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","167841506000","048132581","gmail.com"
"GLOBESTAR CO. LIMITED LTD. (HELLAS)","A","free-mail","legal.sosyachtingr@gmail.com","6942980619","ΠΕΙΡΑΙΩΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ) ΜΕ ΠΛΗΡΩΜΑ","155608607001","996794830","gmail.com"
"GMDT SUNSET CRUISES ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","tax.econ@gmail.com","2107711515","ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ / ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΙΚΕ","2019","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","152260312000","801230192","gmail.com"
"GOLDEN BOAT ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","panos.j.papaioannou@gmail.com","6947306033","ΒΕΛΟΥ-ΒΟΧΑΣ / ΚΟΡΙΝΘΙΑΣ","ΚΟΡΙΝΘΙΑΣ","ΙΚΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΣΚΑΦΩΝ ΘΑΛΑΣΣΙΑΣ ΚΑΙ ΑΚΤΟΠΛΟΪΚΗΣ ΜΕΤΑΦΟΡΑΣ ΕΠΙΒΑΤΩΝ ΜΕ ΧΕΙΡΙΣΤΗ","178661237000","802562960","gmail.com"
"GOLDEN YACHTING & SAILING ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ","A","free-mail","araftop11@gmail.com","2106610242","ΧΑΛΑΝΔΡΙΟΥ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2018","","","ΥΠΗΡΕΣΙΕΣ ΘΑΛΑΣΣΙΩΝ ΚΑΙ ΠΑΡΑΚΤΙΩΝ ΜΕΤΑΦΟΡΩΝ ΕΠΙΒΑΤΩΝ ΜΕ ΘΑΛΑΜΗΓΟΥΣ - ΤΟΥΡΙΣΤΙΚΑ ΠΛΟΙΑ ΜΕ ΕΛΛΗΝΙΚΗ ΣΗΜΑΙΑ","146776403000","801004938","gmail.com"
"GOSALTY ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","ntinopara@gmail.com","6976245367","ΕΡΜΙΟΝΙΔΑΣ / ΑΡΓΟΛΙΔΑΣ","ΑΡΓΟΛΙΔΑΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","163835213000","801813510","gmail.com"
"GRECIAN ALTERNATIVE YACHTING - ΕΝΟΙΚΙΑΣΕΙΣ ΘΑΛΑΜΗΓΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ","A","free-mail","m_venetaki@yahoo.gr","2289028375","ΜΥΚΟΝΟΥ / ΜΥΚΟΝΟΥ","ΚΥΚΛΑΔΩΝ","ΕΠΕ","2009","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","47931438000","997969028","yahoo.gr"
"GREECE YACHTING SERVICES ΤΣΑΚΑΛΙΔΗΣ - ΚΟΝΤΟΜΑΡΗΣ Δ. & ΣΙΑ Ε.Ε.","A","free-mail","d.tsakalidis@hotmail.com","6937019645","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΕΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","156993101000","801445222","hotmail.com"
"GREEK TENDERS ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","h.visaritis@gmail.com","2106201144","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","154477525000","801326811","gmail.com"
"GREEK YACHTING EXPERIENCE CED Ι.Κ.Ε.","A","free-mail","N_MConsulting@outlook.com","2271093828","ΕΠΙΔΑΥΡΟΥ / ΑΡΓΟΛΙΔΑΣ","ΑΡΓΟΛΙΔΑΣ","ΙΚΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","154780613000","801343684","outlook.com"
"GREEK YACHTING EXPERIENCE II Ι.Κ.Ε.","A","free-mail","n_mconsulting@outlook.com","6980791617","ΕΠΙΔΑΥΡΟΥ / ΑΡΓΟΛΙΔΑΣ","ΑΡΓΟΛΙΔΑΣ","ΙΚΕ","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","161426713000","801683410","outlook.com"
"GREEK YACHTING EXPERIENCE III Ι.Κ.Ε.","A","free-mail","bratianthi@gmail.com","6942456555","ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ / ΕΥΒΟΙΑΣ","ΕΥΒΟΙΑΣ","ΙΚΕ","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","161427022000","801683445","gmail.com"
"GREGALE ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ","A","free-mail","isolog@otenet.gr","2610623678","ΠΑΤΡΕΩΝ / ΑΧΑΙΑΣ","ΑΧΑΙΑΣ","ΙΚΕ","2019","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","149385216000","801112220","otenet.gr"
"GUENDARENT ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","guendarent@hotmail.com","2682089488","ΠΡΕΒΕΖΑΣ / ΠΡΕΒΕΖΑΣ","ΠΡΕΒΕΖΑΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","164005949000","801823016","hotmail.com"
"HABEE GREECE ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","dfkorf@otenet.gr","2661090868","ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ / ΚΕΡΚΥΡΑΣ","ΚΕΡΚΥΡΑΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","182087833000","802750830","otenet.gr"
"HANDGREECE ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","Handeurope1@gmail.com","2103619870","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","159058309000","801555656","gmail.com"
"HAPPY DOLPHIN ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","jakob_filter@gmail.com","6937109060","ΝΟΤΙΟΥ ΠΗΛΙΟΥ / ΜΑΓΝΗΣΙΑΣ","ΜΑΓΝΗΣΙΑΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","182647444000","802781111","gmail.com"
"HELIOS YACHTING Ι.Κ.Ε.","A","free-mail","moresailinggreece@gmail.com","6973406043","ΘΕΣΣΑΛΟΝΙΚΗΣ / ΘΕΣΣΑΛΟΝΙΚΗΣ","ΘΕΣΣΑΛΟΝΙΚΗΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","186245804000","802960752","gmail.com"
"HELLAS ELIT SHIPPING OU","A","free-mail","kasatlaw@gmail.com","2110124473","ΑΛΙΜΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","Υποκατάστημα Αλλοδαπής","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","170931301001","996570126","gmail.com"
"HELLAS MARINE PROJECT Α.Ε.","A","free-mail","ta_kritikos@yahoo.com","2109833265","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΑΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","177516801000","802499283","yahoo.com"
"HOWLIN JAMES DOMINIC ΤΟΥ JAMES","A","free-mail","jameshowlin18@gmail.com","2661039716","ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ / ΚΕΡΚΥΡΑΣ","ΚΕΡΚΥΡΑΣ","ΑΤΟΜΙΚΗ","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","187607233000","177069647","gmail.com"
"HYDRA BLUE VENTURES ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","sachasnl@gmail.com","2292024181","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","191939601000","803203289","gmail.com"
"HYDRO JET MARINE Ι.Κ.Ε.","A","free-mail","sakellaristsamp@gmail.com","6949934211","ΡΟΔΟΥ / ΡΟΔΟΥ","ΔΩΔΕΚΑΝΗΣΟΥ","ΙΚΕ","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΠΛΟΙΩΝ ΨΥΧΑΓΩΓΙΑΣ (ΚΟΤΕΡΩΝ, ΘΑΛΑΜΗΓΩΝ, ΒΕΝΖΙΝΑΚΑΤΩΝ ΚΛΠ), ΧΩΡΙΣ ΠΛΗΡΩΜΑ","192684320000","803234278","gmail.com"
"I. NIKOLAOU CAPTAIN G ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ","A","free-mail","dimpapafisk@yahoo.gr","2107481504","ΑΘΗΝΑΙΩΝ / ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΕΠΕ","2003","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","128720201000","999707940","yahoo.gr"
"ICE MARITIME ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","s.psomopoulos@gmail.com","6943715648","ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ / ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2020","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","154947507000","801352459","gmail.com"
"ICE SHIPPING ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","s.psomopoulos@gmail.com","6943715648","ΩΡΩΠΟΥ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2018","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","145347001000","800938448","gmail.com"
"IKARIA BOATS Ο.Ε.","A","free-mail","georgepilaras@gmail.com","2104008035","ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΣΑΜΟΥ","ΟΕ","2021","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","158921651000","801548364","gmail.com"
"IKARIAN CRUISES ΙΚΕ","A","free-mail","ikariancruises@yahoo.gr","2109404770","ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2018","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","148310707000","801066977","yahoo.gr"
"ILAV ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","galanlog@otenet.gr","2273088331","ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ / ΣΑΜΟΥ","ΣΑΜΟΥ","ΙΚΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","175329851000","802379760","otenet.gr"
"Imagination Yachting Ι.Κ.Ε.","A","free-mail","barbasernestos@gmail.com","2661041990","ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ / ΚΕΡΚΥΡΑΣ","ΚΕΡΚΥΡΑΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΣΚΑΦΩΝ ΕΚΔΡΟΜΩΝ ΚΑΙ ΠΕΡΙΗΓΗΣΕΩΝ ΘΑΛΑΣΣΑΣ","185544433000","802929484","gmail.com"
"INSPIRE INTERNATIONAL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","a.sfaellos@gmail.com","2612619178","ΑΛΙΜΟΥ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","182920103000","802795613","gmail.com"
"Ionian Horizons Tours Foukis Ε.Ε.","A","free-mail","georgefoukisarch@gmail.com","2651079475","ΙΩΑΝΝΙΤΩΝ / ΙΩΑΝΝΙΝΩΝ","ΙΩΑΝΝΙΝΩΝ","ΕΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΣΚΑΦΩΝ ΕΚΔΡΟΜΩΝ ΚΑΙ ΠΕΡΙΗΓΗΣΕΩΝ ΘΑΛΑΣΣΑΣ","176985629000","802471981","gmail.com"
"IONIAN HUNTER ΕΤΕΡΟΡΡΥΘΜΗ ΕΤΑΙΡΕΙΑ","A","free-mail","spirosarg7@yahoo.gr","2661048477","ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ / ΚΕΡΚΥΡΑΣ","ΚΕΡΚΥΡΑΣ","ΕΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","182576733000","802777306","yahoo.gr"
"IONIAN LUXURY BOAT Ι.Κ.Ε.","A","free-mail","fitness@otenet.gr","6945211268","ΠΑΤΡΕΩΝ / ΑΧΑΙΑΣ","ΑΧΑΙΑΣ","ΙΚΕ","2025","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","183999916000","802853958","otenet.gr"
"IONIAN SEA PRIVATE TOURS ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","hercules-nash24@hotmail.com","6973451928","ΑΡΓΟΣΤΟΛΙΟΥ / ΚΕΦΑΛΛΗΝΙΑΣ","ΚΕΦΑΛΛΗΝΙΑΣ","ΙΚΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","176505934000","802446357","hotmail.com"
"IONIAN SUNRISE ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","kaloudig@yahoo.gr","6979975337","ΠΕΝΤΕΛΗΣ / ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","167578601000","801984057","yahoo.gr"
"IRIS SAILING ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","epantelaiou@gmail.com","6936953792","ΑΧΑΡΝΩΝ / ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","ΙΚΕ","2026","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","195163401000","803352732","gmail.com"
"IRIS YACHTING ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","a.goutidis@gmail.com","2106435085","ΓΛΥΦΑΔΑΣ / ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ","ΑΤΤΙΚΗΣ","ΙΚΕ","2023","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ ΜΕ ΠΛΗΡΩΜΑ","172859401000","802243820","gmail.com"
"ISENBERG YACHTING ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ","A","free-mail","a.g.tsilikis@gmail.com","6947151186","ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ / ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΙΚΕ","2022","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","164786612000","801864164","gmail.com"
"ISIDORO MARIO ANGELO GIOVANNI EVANGELISTA","A","free-mail","isidiver@yahoo.com","","ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ / ΝΑΞΟΥ","ΚΥΚΛΑΔΩΝ","ΑΤΟΜΙΚΗ","2019","","","ΥΠΗΡΕΣΙΕΣ ΘΑΛΑΣΣΙΩΝ ΚΑΙ ΠΑΡΑΚΤΙΩΝ ΜΕΤΑΦΟΡΩΝ ΕΠΙΒΑΤΩΝ ΜΕ ΘΑΛΑΜΗΓΟΥΣ - ΤΟΥΡΙΣΤΙΚΑ ΠΛΟΙΑ ΜΕ ΕΛΛΗΝΙΚΗ ΣΗΜΑΙΑ","48743438000","038147920","yahoo.com"
"ISLAND TOUR ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.","A","free-mail","gardenline@yahoo.gr","2109838760","ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ / ΑΡΓΟΛΙΔΑΣ","ΑΡΓΟΛΙΔΑΣ","ΙΚΕ","2024","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","176610813000","802452040","yahoo.gr"
"IVA IVANOVIC","A","free-mail","vmessini@gmail.com","2645023388","ΛΕΥΚΑΔΑΣ / ΛΕΥΚΑΔΑΣ","ΛΕΥΚΑΔΑΣ","ΑΤΟΜΙΚΗ","2019","","","ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΤΟΥΡΙΣΤΙΚΟΥ ΣΚΑΦΟΥΣ, ΧΩΡΙΣ ΠΛΗΡΩΜΑ","153200343000","170873016","gmail.com"
